ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
2023,8,3,115.0,448.35
2023,4,2,8024.27,4845.25
2022,4,2,55.2,55.2
2024,3,1,69.89,68.0
2023,6,2,5430.86,53.04
2023,7,3,5107.36,11599.34
2022,12,4,3316.24,705.5
2022,11,4,24.24,27.98
2023,10,4,20.13,19.76
2022,7,3,17.94,17.94
2022,4,2,55.22,48.69
2023,2,1,28.0,28.0
2024,6,2,75.22,75.3
2024,9,3,70.8,97.07
2023,11,4,800.57,816.52
2022,10,4,504.12,767.0
2024,7,3,876.62,90.23
2024,5,2,116.33,115.53
2023,12,4,5115.71,6518.53
2024,2,1,48.8,48.81
2022,8,3,503.74,1972.39
2024,4,2,36.43,35.16
2024,8,3,9242.02,7929.45
2022,4,2,2694.08,1951.83
2024,5,2,76.93,92.57
2022,4,2,48.71,48.71
2024,4,2,120.42,1066.27
2023,12,4,20852.9,18889.83
2022,6,2,84.79,84.72
2023,6,2,4138.99,4610.24
2024,7,3,32.12,32.12
2024,8,3,1735.3,1364.83
2022,12,4,3438.64,3175.03
2024,5,2,27.82,28.61
2024,8,3,2050.09,1300.91
2024,7,3,27.96,36.47
2024,12,4,105.15,96.54
2023,4,2,747.68,159.32
2023,3,1,1552.52,3217.76
2024,9,3,441.74,28.23
2022,6,2,215.85,242.18
2024,5,2,884.74,7238.46
2024,3,1,68.48,60.82
2023,1,1,227.26,185.48
2022,9,3,24.24,24.24
2024,4,2,6387.03,5828.49
2024,11,4,493.84,365.92
2023,11,4,19429.19,17616.16
2024,5,2,1408.71,426.3
2024,3,1,1810.73,1397.71
2023,6,2,1932.46,1560.17
2023,8,3,6547.29,6254.58
2022,5,2,687.0,787.78
2024,10,4,27.82,49.29
2024,10,4,32.15,27.86
2022,4,2,93.84,60.0
2022,11,4,39.26,48.66
2024,8,3,627.08,151.66
2022,12,4,27.98,27.98
2023,12,4,2259.2,1751.12
2022,6,2,13970.24,6798.34
2022,5,2,1769.2,1561.7
2024,12,4,389.31,331.68
2022,5,2,24.24,28.0
2023,6,2,1515.35,1283.52
2022,9,3,202.87,56.27
