,VALOR_FATURA
33287,26.7
57910,32.15
921,165.91
47671,350.16
39874,30.86
29809,32.39
19132,94.43
15258,10242.52
40121,144.96
4483,32.04
33096,26.69
5852,104.23
14517,7340.98
45665,596.96
50885,90.14
14420,123.83
11201,115.61
10939,48.71
1320,1128.66
31014,32.48
8551,31.72
27632,56.63
16631,55.22
28607,32.39
25721,71.45
28718,6603.94
23033,63.78
9287,28.0
30608,6958.03
22397,148.36
710,54.46
16262,7809.42
30974,350.43
42825,30.83
23180,29.51
17990,9462.33
39741,53.53
4210,24.24
35710,2173.4
60896,11091.34
23944,3001.42
39752,41.11
61038,1092.28
37399,2458.05
51087,368.37
65640,40.97
35016,1335.28
18440,24.24
20023,5882.33
40329,2060.07
39356,778.24
21468,49.3
57312,772.6
41760,1082.11
60869,203.03
11050,338.73
16239,24.24
18865,68.26
41997,47.7
44463,84.77
31968,3961.73
65343,4403.41
47886,68.6
48786,1317.62
31320,2701.6
57053,55.87
9362,2132.08
15210,185.04
21720,338.18
6411,48.68
40437,53.64
8352,827.67
6797,55.9
42761,3983.47
46552,1709.17
22553,1513.68
36561,4023.67
15376,1173.36
28026,2024.1
48037,78.33
3435,4433.74
14807,139.26
6881,24.24
28092,36.74
63772,131.33
26104,1582.42
27365,506.29
39452,34.95
26765,120.57
37371,39.11
38990,47.85
58243,20.59
36114,117.33
59927,32.23
15209,454.13
61396,32.3
41016,30.83
48637,596.6
65710,7558.02
18134,24.41
12068,24.6
39533,841.46
21252,470.65
15510,7009.94
39485,150.7
1259,68.22
45000,53.64
54020,55.92
61767,24810.61
3223,189.2
15564,42.18
17902,9838.07
38183,6287.0
32692,999.45
57445,1847.48
37298,26.69
13784,1792.47
58421,1227.76
21953,7832.59
14611,24.24
3773,24.24
48194,27.83
65648,79.85
1607,787.83
57305,772.77
15689,42.3
6977,586.68
12589,3237.08
12880,48.71
14880,14752.51
1954,474.97
27450,3995.22
42200,53.66
16926,666.92
44093,9944.06
4051,2153.37
38250,53.69
64415,40.78
30287,235.97
11867,24.24
65354,31131.05
18200,24.24
9308,42.18
26182,28.04
53117,9124.33
49088,6308.88
16794,487.33
57143,75.04
47285,13999.12
62118,20.59
58160,616.32
44955,30.82
54611,40.7
38538,2812.59
40562,114.77
29158,7613.17
28745,1769.59
64417,27.9
30905,4029.04
9257,2254.3
12499,14066.92
17784,162.96
2477,113.96
17909,338.34
63342,63.44
53729,8919.67
7425,43.0
20636,2354.25
37293,165.14
61146,2912.16
26617,20.76
40756,19.76
30261,32.39
33201,2201.4
43020,62692.58
17042,176.67
3183,1710.78
38914,1242.74
27953,1514.78
49946,27.92
7526,156.12
5591,48.69
10456,165.8
35179,3953.84
12416,429.23
57135,27.82
27095,1420.69
64861,99.9
9864,116.75
13691,908.01
1141,42.18
65038,997.53
46692,1263.0
65236,4807.04
59426,56.97
13584,1329.5
2620,1949.64
45317,594.42
4747,1448.79
58558,172.47
23762,97.87
40383,339.96
45081,59.79
46454,151.05
7651,216.06
50075,406.73
33939,6235.51
52825,764.63
16281,299.47
62691,36.59
44700,26.75
23746,32.39
25530,20.76
50634,262.56
51812,972.17
47204,168.48
64504,5788.7
9144,48.71
62160,36.59
22967,664.92
35744,81.5
26250,56.35
36390,209.04
50553,70.81
45408,300.21
39219,3299.4
3808,48.71
32026,955.15
11241,48.71
26987,224.97
56655,9305.26
1739,10292.75
23866,398.73
45780,247.88
3825,39.35
38838,409.52
58385,10619.66
41814,35.1
9503,48.73
5797,3254.78
38546,26.69
25506,69.29
37328,213.8
52709,2306.81
17441,42.97
28864,5731.83
23481,620.43
18560,48.69
34358,31.41
14265,1510.42
8036,24.24
3480,27.98
2925,24.24
64393,36.49
576,667.0
26869,1466.42
31626,9223.63
52003,85.73
6305,176.34
20110,24.3
32186,11227.66
40831,646.3
37821,3764.34
22398,19.64
58192,18329.98
44517,27.47
10858,74.81
16066,1316.93
21399,9249.65
38930,4336.46
12672,42.53
63392,5816.77
44045,325.87
17773,65.57
21969,29.81
53385,187.82
23186,3771.25
19431,123.63
39799,1136.8
11628,3120.09
44712,46.46
34962,2678.75
19434,6482.79
27062,863.22
35352,31.41
47095,877.77
21914,1197.81
29905,56.35
25365,56.35
17033,1690.33
57806,674.78
39890,445.17
40042,29544.38
34881,76.65
19875,28.0
20662,271.97
61856,49.75
44198,40.1
45065,103.8
25329,32.39
40678,30.83
50521,3871.83
33466,647.76
61786,101.92
53772,1019.74
39946,1485.79
56833,559.55
44962,26.69
52269,2375.51
26797,56.35
57620,10891.88
398,24.24
1192,54.2
22383,4885.02
9376,1048.74
27002,41.14
54063,16629.65
52396,14810.36
56238,1573.75
19543,55.22
65714,3899.67
21403,27.98
10526,217.08
43292,120.65
48426,3459.02
15090,24.24
21824,48.71
37042,34.95
16649,43.05
61644,20.59
46187,4150.42
